;id;date;homeContestantId;awayContestantId;homeContestantOfficialName;awayContestantOfficialName;homeContestantCode;awayContestantCode;card_events;venue;goal_events
194;3mzr3qt8qmneqqd5dva7ptrmc;2023-02-19Z;ccpscwdcm65czscrun048ecn5;24fvcruwqrqvqa3aonf8c3zuy;FC Utrecht;PSV Eindhoven;UTR;PSV;[['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 63, 'J. Branthwaite', 'YC']];Stadion Galgenwaard;[['Utrecht', 'ccpscwdcm65czscrun048ecn5', 1, 33, 'O. Boussaid'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 1, 41, 'J. Bakayoko'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 57, 'L. de Jong'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 60, 'S. van de Streek']]
195;3ndlbcrfb5g62uul8f103s74k;2023-02-19Z;b79uipsy57y1jqpy07h4i5ovk;4tic29sox7m39fy1ztgv0jsiq;Go Ahead Eagles;FC Twente;GAE;TWE;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 75, 'M. Vlap', 'YC']];De Adelaarshorst;[['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 1, 6, 'P. Rommens'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 1, 16, 'I. Lidberg']]
196;3mo5843jko4u807e7kd9i6uj8;2023-02-19Z;d0zdg647gvgc95xdtk1vpbkys;89w5c6pw7vn0dxypi61tt0g4k;AFC Ajax;Sparta Rotterdam;AJA;SPA;[['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 92, 'R. Rosario', 'YC']];Johan Cruijff Arena;[['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 6, 'D. Tadić'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 27, 'K. Taylor'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 64, 'D. Tadić'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 84, 'M. Kudus']]
197;3ms07xeegkmu2rk8i4a3amdxw;2023-02-19Z;dqk062lu0vm8epvytbm6r4mmf;8iawijq7s9s6d85mjz8wdslki;SBV Excelsior;Nijmegen Eendracht Combinatie;EXC;N.E.C.;[['NEC', '8iawijq7s9s6d85mjz8wdslki', 1, 29, 'P. Sandler', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 35, 'R. El Yaakoubi', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 47, 'R. El Yaakoubi', 'Y2C'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 81, 'C. Verdonk', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 87, 'C. Driouech', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 87, 'S. Nieuwpoort', 'YC']];Van Donge & De Roo Stadion;[['NEC', '8iawijq7s9s6d85mjz8wdslki', 1, 44, 'M. Mattsson'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 73, 'S. El Karouani'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 85, 'A. Musaba']]
198;3oiaplx1c5ubdohjdxe8zdd04;2023-02-24Z;89w5c6pw7vn0dxypi61tt0g4k;ccpscwdcm65czscrun048ecn5;Sparta Rotterdam;FC Utrecht;SPA;UTR;[['Utrecht', 'ccpscwdcm65czscrun048ecn5', 1, 27, 'L. Brouwers', 'YC'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 1, 38, 'S. Sambo', 'YC'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 1, 46, 'M. Sagnan', 'YC'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 49, 'A. Auassar', 'RC'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 71, 'J. de Guzmán', 'YC'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 93, 'Y. Namli', 'YC'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 96, 'B. Ramselaar', 'YC']];Sparta-Stadion Het Kasteel;[['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 74, 'V. Jensen'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 88, 'O. Boussaid'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 90, 'A. Descotte']]
199;3ny6xgw32kugw96ejr3ado8ic;2023-02-25Z;cos9hxi16eitbcbthof7zrm4m;dqk062lu0vm8epvytbm6r4mmf;FC Groningen;SBV Excelsior;GRO;EXC;[];Euroborg;[['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 13, 'J. Hove'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 2, 50, 'R. Pepi'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 2, 66, 'L. van Gelderen']]
200;3odxl87zqrc7m2oqytikf8n4k;2023-02-25Z;4vd2t5schmvvufrfib7f2vjdf;ed5nwjz5za3oyi20nxzgqivmx;SC Heerenveen;RKC Waalwijk;HEE;RKC;[['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 57, 'S. Olsson', 'YC'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 62, 'J. Bruma', 'YC'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 68, 'S. Adewoye', 'YC'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 72, 'F. Jozefzoon', 'YC']];Abe Lenstra Stadion;[['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 1, 35, 'S. van Hooijdonk'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 61, 'F. Jozefzoon'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 75, 'J. Lelieveld'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 77, 'Y. Oukili'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 94, 'F. Jozefzoon']]
201;3nq59plm6gl0ucy4erld2zaj8;2023-02-25Z;3kfktv64h7kg7zryax1wktr5r;ears40cp6opsgvhsy0dgyszpd;Alkmaar Zaanstreek;SC Cambuur Leeuwarden;AZ;CAM;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 1, 21, 'S. Mijnans', 'YC'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 34, 'M. Hoedemakers', 'YC'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 67, 'J. Clasie', 'YC'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 83, 'P. Hatzidiakos', 'YC'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 92, 'M. Hoedemakers', 'Y2C']];AFAS Stadion;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 1, 40, 'V. Pavlidis'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 73, 'W. Goes'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 85, 'B. Johnsen']]
202;3o68h3w1wo0aczxo1be5kfytw;2023-02-25Z;8iawijq7s9s6d85mjz8wdslki;6g9qrm72224jrk6tkxxxi8a9n;Nijmegen Eendracht Combinatie;FC Volendam;N.E.C.;VOL;[['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 1, 37, 'B. Benamar', 'YC'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 53, 'B. Plat', 'YC'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 64, 'G. Oristanio', 'YC']];Goffertstadion;[['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 57, 'Iván Márquez'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 66, 'L. Dimata'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 91, 'Pedro Marques']]
203;3o27spi6e8dd5wa2terj4jitw;2023-02-26Z;3ebril33e08ddzob4bhq8awsr;20vymiy7bo8wkyxai3ew494fz;Fortuna Sittard;Feyenoord Rotterdam;FOR;FEY;[];Fortuna Sittard Stadion;[['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 1, 10, 'Ximo Navarro'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 16, 'M. Wieffer'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 43, 'S. Giménez'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 48, 'Deroy Duarte'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 63, 'Igor Paixão'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 84, 'D. Siovas']]
