;id;date;homeContestantId;awayContestantId;homeContestantOfficialName;awayContestantOfficialName;homeContestantCode;awayContestantCode;card_events;venue;goal_events
526;2n3fw1dk8droen7vsm4jmuxas;2022-03-06Z;d0zdg647gvgc95xdtk1vpbkys;ed5nwjz5za3oyi20nxzgqivmx;AFC Ajax;RKC Waalwijk;AJA;RKC;[['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 15, 'b17tkj4ea4jld8yupekcolall', 'Lisandro Martínez', 'YC'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 53, '6sg2ot7z9kfyrlgjkmpqvejqi', 'D. Rensch', 'YC'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 93, 'evexihkozqignope6k57tjgt1', 'V. Anita', 'YC'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 94, '6m2pk6odyb3atayt6u8cifahh', 'D. Tadić', 'YC']];Johan Cruijff Arena;[['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 33, 'cy0lv5u16obr2ne4xiins43x1', 'S. Haller'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 37, 'cy0lv5u16obr2ne4xiins43x1', 'S. Haller'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 50, 'e8wfxueczkhrj92rytelw5vx1', 'M. Kramer'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 57, '7q8urr40blud747zzb3io8w5x', 'R. van der Venne'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 90, '6m2pk6odyb3atayt6u8cifahh', 'D. Tadić']]
527;2nlar3sakibnobgj3a5q21gyc;2022-03-06Z;8iawijq7s9s6d85mjz8wdslki;3kfktv64h7kg7zryax1wktr5r;Nijmegen Eendracht Combinatie;Alkmaar Zaanstreek;N.E.C.;AZ;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 1, 42, 'f3h1bxnw3fq8m10ck132bic4p', 'P. Vindahl', 'YC']];Goffertstadion;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 1, 8, '33yauarx84sam5u05vgyqxfxl', 'J. Karlsson'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 1, 44, '9fpb7g8ij9dqtuqhnimy5fap5', 'Rodrigo Guth'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 70, '33yauarx84sam5u05vgyqxfxl', 'J. Karlsson'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 76, 'b2ibeioms7t9vb3au7tpqys4p', 'H. Evjen']]
528;2ne415xlqz3jjnfl6xhezg4k4;2022-03-06Z;3ebril33e08ddzob4bhq8awsr;2uuh2bir8ktof0uxfo06lb4ox;Fortuna Sittard;PEC Zwolle;FOR;ZWO;[['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 1, 42, '3uq3lrjyj4mnvq6162b0jyhnt', 'M. de Wit', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 82, '7s79un28qujnx64qwl49wy4tl', 'Z. Flemming', 'YC'], ['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 2, 83, '3a89nlkh1p3l3qi6o70uzp5ud', 'G. Kastaneer', 'YC']];Fortuna Sittard Stadion;[['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 2, 77, '415edw5nh3byftl1t0e6by2mt', 'O. Darfalou']]
529;2ot1ptvsb6k79bo91hb5hgrv8;2022-03-11Z;ears40cp6opsgvhsy0dgyszpd;d0zdg647gvgc95xdtk1vpbkys;SC Cambuur Leeuwarden;AFC Ajax;CAM;AJA;[['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 19, 'cgsirikez39wlx8lhu1uo00yd', 'T. Boere', 'YC'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 59, 'dz5odw2c0d2hyx60oxorrf9hx', 'R. Maulun', 'YC'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 71, 'cy0lv5u16obr2ne4xiins43x1', 'S. Haller', 'YC']];Cambuur Stadion;[['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 3, '6m2pk6odyb3atayt6u8cifahh', 'D. Tadić'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 40, 'cy0lv5u16obr2ne4xiins43x1', 'S. Haller'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 48, 'a8tlfofr7mml3y6wonwlx9qs5', 'I. Kallon'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 79, 'ctoif5hk42dove6uxuji93y7d', 'P. Joosten'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 92, '5ga7g20wsa7oqjbh4ijoeknl6', 'R. Gravenberch']]
530;2owuddaa1uojbb8im6k001fro;2022-03-12Z;89w5c6pw7vn0dxypi61tt0g4k;b79uipsy57y1jqpy07h4i5ovk;Sparta Rotterdam;Go Ahead Eagles;SPA;GAE;[['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 67, '7nfr8xuo637qma7ovxx4r9fmy', 'J. Idzes', 'YC']];Sparta-Stadion Het Kasteel;[['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 68, 'e8zpc22dwlmgkkwoqpgwxsn2t', 'A. Auassar']]
531;2o5w61iwhxgkxhjo49gy3up78;2022-03-12Z;cos9hxi16eitbcbthof7zrm4m;8iawijq7s9s6d85mjz8wdslki;FC Groningen;Nijmegen Eendracht Combinatie;GRO;N.E.C.;[];Euroborg;[['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 2, '47autoxmcbr5z7o6d8998esph', 'M. de Leeuw'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 1, 13, 'cog2vp76lmir7dt76pgrkspyi', 'A. Akman'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 22, '2ge9oa66xgsefhhpvuboua76x', 'J. Strand Larsen'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 1, 29, '9p6nlczeycd0ai4dahjxnf8ph', 'L. Schöne'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 1, 32, '8inyievyp1az6q3dtlkpynf56', 'M. Mattsson'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 2, 80, 'bgzkdepav40x6focwuaf9qxre', 'R. Postema'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 2, 92, 'bgzkdepav40x6focwuaf9qxre', 'R. Postema']]
532;2op52g7w39olm2thrrucsno5w;2022-03-12Z;ed5nwjz5za3oyi20nxzgqivmx;4vd2t5schmvvufrfib7f2vjdf;RKC Waalwijk;SC Heerenveen;RKC;HEE;[['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 1, 35, '9787nemt11c372uird332d13p', 'J. Gaari', 'YC'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 47, '9hvw1v4douz0kst032a9l853p', 'S. van Beek', 'YC'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 78, 'evexihkozqignope6k57tjgt1', 'V. Anita', 'YC'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 93, '7jtag81mvpom3bfgezx8txbdh', 'T. Haye', 'YC'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 95, 'abnezz7yico2636ucafabz4t0', 'R. Kuijpers', 'YC']];Mandemakers Stadion;[]
533;2odt7n7vvwl2esg6axwpovhg4;2022-03-13Z;3ebril33e08ddzob4bhq8awsr;bk5ltsueqmeng29eovd8m2tml;Fortuna Sittard;Willem II;FOR;WIL;[['Willem II', 'bk5ltsueqmeng29eovd8m2tml', 1, 20, 'b9apqidquztaojf6e3my6v7bp', 'D. Crowley', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 49, '4e6yz7j1xjd7b6oyv078q8edx', 'M. Tirpan', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 66, 'atbvv2os8m7nfs0p128w5a6l1', 'M. Seuntjens', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 86, 'b2h6iojtnu8rzb81vw4rbfrop', 'G. Cox', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 91, 'ewpdng8x72853r8jkxv5z949h', 'M. Angha', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 96, '7t19aebk75lrt41hmclk18mhh', 'D. Siovas', 'YC']];Fortuna Sittard Stadion;[['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 52, '7s79un28qujnx64qwl49wy4tl', 'Z. Flemming']]
534;2oa4e0a4vczriouk0fq1huzv8;2022-03-13Z;ccpscwdcm65czscrun048ecn5;24fvcruwqrqvqa3aonf8c3zuy;FC Utrecht;PSV Eindhoven;UTR;PSV;[['Utrecht', 'ccpscwdcm65czscrun048ecn5', 1, 19, '6my743on19jmzmlq0crx3mq51', 'D. Warmerdam', 'YC'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 86, '2e0o5pwinz3zhg9pqg5vej9ih', 'J. Teze', 'YC'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 88, 'cgwl99clcp8j1z4tq5n0bh9ed', 'A. Maher', 'YC'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 92, '9psfk94nduz6icnuwty5v9all', 'C. Gakpo', 'YC'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 92, '94zmvxw7yw020w43dn0qiclbd', 'Carlos Vinícius', 'YC']];Stadion Galgenwaard;[['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 53, 'dm0e0dzoincmqdaeajm9fzx05', 'E. Zahavi']]
535;2ohh1y1qpsyelz368cdsqklxw;2022-03-13Z;dac758ef858jbq7pcb3gfwite;6hsriqr3ybvyg94w2k19oal50;Heracles Almelo;SBV Vitesse;HER;VIT;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 16, 'hjb0mn4fgmfiimwn5odvl8fd', 'T. Buitink', 'YC'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 20, '4snaidw6iaeo0k20gjfm35nft', 'T. Domgjoni', 'YC'], ['Heracles', 'dac758ef858jbq7pcb3gfwite', 2, 65, '6zxcmzp7w6esj54g05tvk7ai1', 'K. Lunding', 'YC'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 2, 75, '4idru0svqcqjpi03b4jhqyd3p', 'M. Bero', 'YC'], ['Heracles', 'dac758ef858jbq7pcb3gfwite', 2, 84, '1r35ds2obqkw03f7hfpfsqqui', 'G. Quagliata', 'YC']];Erve Asito;[]
536;2ol5vaj3x8zz5e7skxdr8wufo;2022-03-13Z;2uuh2bir8ktof0uxfo06lb4ox;20vymiy7bo8wkyxai3ew494fz;PEC Zwolle;Feyenoord Rotterdam;ZWO;FEY;[['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 1, 14, 'a339o11ut8s1o9odm6ybc4pka', 'T. van den Belt', 'YC'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 53, 'djbw3afgcgkbq22soig0xsjfu', 'O. Kökçü', 'YC'], ['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 2, 71, 'ak0jfw773zz6x4yrq67z2d13p', 'M. van der Werff', 'YC'], ['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 2, 75, 'a7ekqvzo7coh5bmbw3ktyut3p', 'Y. Nakayama', 'YC']];MAC³PARK Stadion;[['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 1, 47, 'bspl2le99ugt2ug4tcqsvp1w5', 'B. van Polen'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 67, '7xlnqr43lvc8coshx65qd5omh', 'L. Sinisterra'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 77, '86603cyr3osksy73el0ncy7yt', 'C. Dessers']]
537;2o28ft2ezerhntindrlunl3x0;2022-03-13Z;3kfktv64h7kg7zryax1wktr5r;4tic29sox7m39fy1ztgv0jsiq;Alkmaar Zaanstreek;FC Twente;AZ;TWE;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 1, 7, '3dx91sb6ktg8z1xmoti25kru', 'P. Koopmeiners', 'YC'], ['Twente', '4tic29sox7m39fy1ztgv0jsiq', 1, 38, '9qoc020keotb4s72a09zm5pzp', 'M. Sadílek', 'YC'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 75, 'ayqy2vql1oumokqly9ahfrnx1', 'P. Hatzidiakos', 'YC'], ['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 78, 'lduqoe45t2fnbn9s9rbvlnf9', 'R. Pröpper', 'YC']];AFAS Stadion;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 62, '6p4fs5rivwt0e45twlsf6ajth', 'J. Brenet']]
538;2por4kvi3s9ssivucvjx7r3mc;2022-03-18Z;4vd2t5schmvvufrfib7f2vjdf;dac758ef858jbq7pcb3gfwite;SC Heerenveen;Heracles Almelo;HEE;HER;[['Heracles', 'dac758ef858jbq7pcb3gfwite', 2, 66, 'azmgwfh3pkk5a3iva0hstkl3p', 'B. Başaçıkoğlu', 'YC']];Abe Lenstra Stadion;[['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 59, 'amvonu36at4dg7ksi1ioczi3u', 'A. Sarr'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 88, 'axyco8s2xmxrvtmq9ycrttnf9', 'N. Bakker']]
539;2pcfkyaxhfq5v9263yjhpkbv8;2022-03-19Z;b79uipsy57y1jqpy07h4i5ovk;ears40cp6opsgvhsy0dgyszpd;Go Ahead Eagles;SC Cambuur Leeuwarden;GAE;CAM;[['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 16, '8o13oyr0lqkr5sw7j9ekdan6x', 'M. Hoedemakers', 'YC'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 16, '426st78oi43eortpbfkuxw72t', 'M. Paulissen', 'YC'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 39, 'tv8e6nxc7jl8wbzf6ojd6dw5', 'D. Schmidt', 'YC'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 52, 'ciguyr553yqapqfudim9af46h', 'M. Deijl', 'YC'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 63, 'dz5odw2c0d2hyx60oxorrf9hx', 'R. Maulun', 'YC'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 81, '3u2783a9ukglf8yg3dere8wve', 'A. Bangura', 'YC']];De Adelaarshorst;[['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 1, 25, '61a5bh5xw947nv4mxx62gqaqx', 'J. Kramer'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 36, '6f5tgppmsu7dowycmguewjjd', 'P. Bos'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 77, 'ciguyr553yqapqfudim9af46h', 'M. Deijl']]
540;2p4k31us0rt4u7ev7x9axcd1w;2022-03-19Z;4tic29sox7m39fy1ztgv0jsiq;2uuh2bir8ktof0uxfo06lb4ox;FC Twente;PEC Zwolle;TWE;ZWO;[['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 2, 46, 'a339o11ut8s1o9odm6ybc4pka', 'T. van den Belt', 'YC'], ['PEC Zwolle', '2uuh2bir8ktof0uxfo06lb4ox', 2, 53, 'a8ibk15ekdf3pu1n8iq40lcyd', 'K. Paal', 'YC']];De Grolsch Veste;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 1, 19, '5m8pflpgynidzk7d9507oujje', 'D. Rots']]
