,id,date,homeContestantId,awayContestantId,homeContestantOfficialName,awayContestantOfficialName,homeContestantCode,awayContestantCode
538,2por4kvi3s9ssivucvjx7r3mc,2022-03-18Z,4vd2t5schmvvufrfib7f2vjdf,dac758ef858jbq7pcb3gfwite,SC Heerenveen,Heracles Almelo,HEE,HER
539,2pcfkyaxhfq5v9263yjhpkbv8,2022-03-19Z,b79uipsy57y1jqpy07h4i5ovk,ears40cp6opsgvhsy0dgyszpd,Go Ahead Eagles,SC Cambuur Leeuwarden,GAE,CAM
540,2p4k31us0rt4u7ev7x9axcd1w,2022-03-19Z,4tic29sox7m39fy1ztgv0jsiq,2uuh2bir8ktof0uxfo06lb4ox,FC Twente,PEC Zwolle,TWE,PEC
541,2pgg89031378tw896j2o7beok,2022-03-19Z,8iawijq7s9s6d85mjz8wdslki,89w5c6pw7vn0dxypi61tt0g4k,Nijmegen Eendracht Combinatie,Sparta Rotterdam,N.E.C.,SPA
542,2p8mxlq8liwidas9pzdk4qivo,2022-03-20Z,ccpscwdcm65czscrun048ecn5,cos9hxi16eitbcbthof7zrm4m,FC Utrecht,FC Groningen,UTR,GRO
543,2p0rkx9b5o8y5v3hmpdvel4wk,2022-03-20Z,d0zdg647gvgc95xdtk1vpbkys,20vymiy7bo8wkyxai3ew494fz,AFC Ajax,Feyenoord Rotterdam,AJA,FEY
544,2pkirkbszeypdvagd5w7v96vo,2022-03-20Z,24fvcruwqrqvqa3aonf8c3zuy,3ebril33e08ddzob4bhq8awsr,PSV Eindhoven,Fortuna Sittard,PSV,FOR
545,2puy19k0jczm6vcm8giaz4jdg,2022-03-20Z,6hsriqr3ybvyg94w2k19oal50,ed5nwjz5za3oyi20nxzgqivmx,SBV Vitesse,RKC Waalwijk,VIT,RKC
546,2pz6d6ucqvcaebjeei78xl0d0,2022-03-20Z,bk5ltsueqmeng29eovd8m2tml,3kfktv64h7kg7zryax1wktr5r,Willem II,Alkmaar Zaanstreek,WIL,AZ
547,2q6xrtwztok2au662nqoe347o,2022-04-02Z,cos9hxi16eitbcbthof7zrm4m,d0zdg647gvgc95xdtk1vpbkys,FC Groningen,AFC Ajax,GRO,AJA
548,2qb3ffiw3ul1um8o00k79r7ys,2022-04-02Z,4tic29sox7m39fy1ztgv0jsiq,24fvcruwqrqvqa3aonf8c3zuy,FC Twente,PSV Eindhoven,TWE,PSV
549,2q2xkov228x7qzpwuohb92tck,2022-04-02Z,3kfktv64h7kg7zryax1wktr5r,6hsriqr3ybvyg94w2k19oal50,Alkmaar Zaanstreek,SBV Vitesse,AZ,VIT
550,2qq3reyk7bpydwlx1vzjhuv4k,2022-04-02Z,ed5nwjz5za3oyi20nxzgqivmx,ccpscwdcm65czscrun048ecn5,RKC Waalwijk,FC Utrecht,RKC,UTR
551,2qeozkexap92fxewwviqh0rv8,2022-04-02Z,20vymiy7bo8wkyxai3ew494fz,bk5ltsueqmeng29eovd8m2tml,Feyenoord Rotterdam,Willem II,FEY,WIL
552,2qm4r033f59ypqt4bfj3s7g9g,2022-04-03Z,2uuh2bir8ktof0uxfo06lb4ox,b79uipsy57y1jqpy07h4i5ovk,PEC Zwolle,Go Ahead Eagles,PEC,GAE
553,2qi47ocerhtselltuekgf0h78,2022-04-03Z,3ebril33e08ddzob4bhq8awsr,dac758ef858jbq7pcb3gfwite,Fortuna Sittard,Heracles Almelo,FOR,HER
554,2qy4mhywx6k5an470gv9kkcus,2022-04-03Z,89w5c6pw7vn0dxypi61tt0g4k,4vd2t5schmvvufrfib7f2vjdf,Sparta Rotterdam,SC Heerenveen,SPA,HEE
555,2qtuct40xg0zv5nuwzpc1tp90,2022-04-03Z,ears40cp6opsgvhsy0dgyszpd,8iawijq7s9s6d85mjz8wdslki,SC Cambuur Leeuwarden,Nijmegen Eendracht Combinatie,CAM,N.E.C.
556,2r9posi6x842q31nutvta3thw,2022-04-08Z,b79uipsy57y1jqpy07h4i5ovk,bk5ltsueqmeng29eovd8m2tml,Go Ahead Eagles,Willem II,GAE,WIL
557,2r60xe7z00gpennqu0a2npul0,2022-04-09Z,ccpscwdcm65czscrun048ecn5,3ebril33e08ddzob4bhq8awsr,FC Utrecht,Fortuna Sittard,UTR,FOR
558,2r1sknhm3uw7ssx0apm25qas4,2022-04-09Z,d0zdg647gvgc95xdtk1vpbkys,89w5c6pw7vn0dxypi61tt0g4k,AFC Ajax,Sparta Rotterdam,AJA,SPA
559,2rhol9fkjejff916pjzruq87o,2022-04-09Z,8iawijq7s9s6d85mjz8wdslki,4tic29sox7m39fy1ztgv0jsiq,Nijmegen Eendracht Combinatie,FC Twente,N.E.C.,TWE
560,2rt13n7ryegmt8ieykm9zkjdg,2022-04-10Z,4vd2t5schmvvufrfib7f2vjdf,cos9hxi16eitbcbthof7zrm4m,SC Heerenveen,FC Groningen,HEE,GRO
561,2rpdoezgitktc9q37xil6mpsk,2022-04-10Z,24fvcruwqrqvqa3aonf8c3zuy,ed5nwjz5za3oyi20nxzgqivmx,PSV Eindhoven,RKC Waalwijk,PSV,RKC
562,2rz7tdeg1j8asiq4jp87uvuhg,2022-04-10Z,6hsriqr3ybvyg94w2k19oal50,ears40cp6opsgvhsy0dgyszpd,SBV Vitesse,SC Cambuur Leeuwarden,VIT,CAM
563,2rdt1ycxc4p4v6srb873gtzpw,2022-04-10Z,dac758ef858jbq7pcb3gfwite,20vymiy7bo8wkyxai3ew494fz,Heracles Almelo,Feyenoord Rotterdam,HER,FEY
564,2rlmfd9xqklvy6jegs9hyw7x0,2022-04-10Z,2uuh2bir8ktof0uxfo06lb4ox,3kfktv64h7kg7zryax1wktr5r,PEC Zwolle,Alkmaar Zaanstreek,PEC,AZ
565,2lmffd9v4c0aosn03flebjf2s,2022-04-16Z,3ebril33e08ddzob4bhq8awsr,89w5c6pw7vn0dxypi61tt0g4k,Fortuna Sittard,Sparta Rotterdam,FOR,SPA
566,2nuxcb04dgs76fiwk25yufw2c,2022-04-19Z,6hsriqr3ybvyg94w2k19oal50,89w5c6pw7vn0dxypi61tt0g4k,SBV Vitesse,Sparta Rotterdam,VIT,SPA
567,2saaalqhj2khemp86banivdw4,2022-04-22Z,4tic29sox7m39fy1ztgv0jsiq,89w5c6pw7vn0dxypi61tt0g4k,FC Twente,Sparta Rotterdam,TWE,SPA
568,2sme1t5ueeavydqvl9j0tfl78,2022-04-23Z,8iawijq7s9s6d85mjz8wdslki,d0zdg647gvgc95xdtk1vpbkys,Nijmegen Eendracht Combinatie,AFC Ajax,N.E.C.,AJA
569,2s33uwl2uhd7bw82d2zr2ketw,2022-04-23Z,3kfktv64h7kg7zryax1wktr5r,4vd2t5schmvvufrfib7f2vjdf,Alkmaar Zaanstreek,SC Heerenveen,AZ,HEE
570,2sqb1nr6snxu6za7w3th51nh0,2022-04-23Z,ed5nwjz5za3oyi20nxzgqivmx,2uuh2bir8ktof0uxfo06lb4ox,RKC Waalwijk,PEC Zwolle,RKC,PEC
571,2su1a1rvxx7qij164wuwxaql0,2022-04-23Z,ears40cp6opsgvhsy0dgyszpd,24fvcruwqrqvqa3aonf8c3zuy,SC Cambuur Leeuwarden,PSV Eindhoven,CAM,PSV
572,2sxsf09bay3kwlg31t8nfdudw,2022-04-24Z,bk5ltsueqmeng29eovd8m2tml,6hsriqr3ybvyg94w2k19oal50,Willem II,SBV Vitesse,WIL,VIT
573,2s6v1bcf8zzphczyzlb200s2c,2022-04-24Z,cos9hxi16eitbcbthof7zrm4m,dac758ef858jbq7pcb3gfwite,FC Groningen,Heracles Almelo,GRO,HER
574,2sed36zfro28oh910xw0a7cpg,2022-04-24Z,20vymiy7bo8wkyxai3ew494fz,ccpscwdcm65czscrun048ecn5,Feyenoord Rotterdam,FC Utrecht,FEY,UTR
575,2sia0zyqgbnnf2ehenqs8zpxw,2022-04-24Z,3ebril33e08ddzob4bhq8awsr,b79uipsy57y1jqpy07h4i5ovk,Fortuna Sittard,Go Ahead Eagles,FOR,GAE
576,2t5qf1ubcfdzy9qf4hkhzhdlg,2022-04-29Z,ccpscwdcm65czscrun048ecn5,8iawijq7s9s6d85mjz8wdslki,FC Utrecht,Nijmegen Eendracht Combinatie,UTR,N.E.C.
577,2t1v9pgt1q9odcbplqzfm5444,2022-04-30Z,d0zdg647gvgc95xdtk1vpbkys,2uuh2bir8ktof0uxfo06lb4ox,AFC Ajax,PEC Zwolle,AJA,PEC
578,2thzww6f2uwkv005jr0oke590,2022-04-30Z,dac758ef858jbq7pcb3gfwite,4tic29sox7m39fy1ztgv0jsiq,Heracles Almelo,FC Twente,HER,TWE
